Restaurant,Review,Points
Zeughauskeller,"exzellenter Service, freundlich und hilfsbereit, gut organisierte und schnelle Küche.  Sehr saubere Umgebung, wir kommen gerne wieder.  ratsam",5.0
Zeughauskeller,Die Speisekarte mit typischen Menus ist sehr gut zusammengestellt. Der Service ist speditiv und jederzeit sehr freundlich. Das Essen ist sehr gut mit einer guten Weinkarte. Preis/Leistungsverhältnis absolut stimmig.,5.0
Zeughauskeller,"Essen war gut und traditionell so wie der Service. Wer gerne mt vielen Leuten isst und mit anderen Gästen am gleichen Tisch plaziert werden, ist hier am richtigen Ort. Schöner Abend.",4.0
Zeughauskeller,Wir haben gut gegessen. War wirklich gute rösti mit lekkere fleisch...wir kommen zuruck fur  gorden blue mit ein dessert..,4.0
Zeughauskeller,"Richtig schweizerisch typisches Restaurant,Mit einer ganz tollen Bedienung und hervorragende Gerichte professionell hergerichtet. Eines der besten schweizerischen Touristen Restaurants. Herzliche Gratulation",5.0
Zeughauskeller,"Rappelvolle Touristenbude, Service muffelig ( Tischzuweisung mit Fingerzeig ? Nicht mal für eine kurze Begrüßung Zeit ?)
Das Menü wie erwartet rustikal-bürgerlich, der Geschmack unerwartet mittelmäßig, dafür hochpreisig",3.0
Zeughauskeller,"Wir waren als Familie mit vorheriger Reservierung im Lokal, es war sehr viel los, daher etwas laut. Das Personal war sehr nett und hat sich schnell um alle Wünsche gekümmert. Auch nach dem Stand der Getränke wurde selbstständig geschaut und nachgefragt ob neues gewünscht ist....Mehr",4.0
Zeughauskeller,"Obwohl das Lokal ziemlich voll war und wir keine Reservierung hatten, bekamen wir (2 Personen) noch einen Platz. Die Bedienung war trotz Stress sehr freundlich. Auch das Essen war zufriedenstellend. Einzig die Preise sind (für nicht-Schweizer) recht hoch, aber das ist ja überall in der...Mehr",4.0
Zeughauskeller,"Unsere Platzwünsche wurden berücksichtigt, wir wurden sehr freundlich bedient, das Essen schmeckte hervorragend.",4.0
Zeughauskeller,"[+]
-Freundlicher Service
-Gute Portionen
-Leckeres Essen
-Preis/Leistung stimmt

[+/-]
Schöne Atmosphäre (Mit viel Gästen könnte es aber laut sein)",5.0
Zeughauskeller,"Wir waren am Samstag mit vier Personen zum Mittagessen hier. Wir haben einen Tisch draussen vor dem Lokal gewählt. Da das Essen über zu wenig Sauce verfügt, versuchten wir diese nachzubestellen. Nach dem der für uns zuständige Kellner 10 Minuten lang nicht erschienen war, sprachen...Mehr",2.0
Zeughauskeller,"Mussten 30 Min. auf Getränke warten, Massenabfertigung, Qualität Hausmannskost, Zweite Getränke vergessen, laut und ungemütlich, Touristenlokal",3.0
Zeughauskeller,"Schneller Service 
Gute Salatsauce
Grosse Auswahl an Essen
Preis- / Leistungsverhältnis gut 
Beilagen können individuelle ausgewählt werden",4.0
Zeughauskeller,"Unter Freunden verbrachten wir einen Abend hier. Das Personal war freundlich und aufmerksam. Angebot: grosse Auswahl; Liebloses Essen, geschmacklich enttäuschend: wir hatten Zürcher Geschnetzeltes: leider nicht überzeugend, da darf an der Rezeptur einiges geändert werden. Brot wird nicht zu Salat gereicht, einzig Bürli zu einem...Mehr",2.0
Zeughauskeller,"Wir hatten Kalbs Cordon bleu mit Pommes. Lieblos eingerichtet und alles sehr trocken. Ich hatte nur 3/4 vom Cordon bleu und die Hälfte der Pommes gegessen. Als der Kellner fragte, ob es geschmeckt hat, verneinte ich dies. Er meinte jedoch nur lapidar: ""Dafür haben sie...Mehr",1.0
Zeughauskeller,"Tolle Stimmung, Bedienung und Essen. Die Suppe war köstlich, das Cordon Bleu lecker und dea Vacherin-Glacé ein Traum. Dazu ein Swiss Highland Whisky.",5.0
Zeughauskeller,"Wir waren ein Gruppe von 8 Personen.der Service wirkte sehr gestresst und unfreundlich,das wienerschnitzel? Oder was das sein sollte war weit davon entfernt, ein Besuch in Österreich würde Aufklärung schaffen.
Wir kommen leider nicht mehr",3.0
Zeughauskeller,"Wir wollten heute Sonntag um 1330 Ihr, also weit nach dem Mittagsservice, Kaffe und Dessert draussen konsumieren. Es war relativ kühl und von allen Aussenplätzen war daher nur etwa 1/4 belegt. 

Wir wurden vom Kellner fortgeschickt. Nur für Kaffe gebe es genügend Kaffeehäuser in der...Mehr",1.0
Zeughauskeller,"Es macht immer wieder Spass in dieses traditionelle Zürcher Restaurant zu gehen. Nach so vielen Jahren immer noch die tolle Qualität der Küche und des Services. Faire und bezahlbare Preise, aufgestellte MitarbeiterInnen und urchige Ambiente. Einziger Mangel ist manchmal der eher knappe Platz zum sitzen,...Mehr",4.0
Zeughauskeller,"Wir verbrachten kürzlich einen schönen Abend umter Freunden. Die Karte war gross, das Angebot breit und mit vielen Ortsüblichen Gerichten wie Würste, Zürich Geschnetzeltes etc. Personal war freundlich und aufmerksam. Die Gerichte selbst waren geschmacklich gut. Leider werden die Teller kantinenmässig und langweilig angerichtet. Keine...Mehr",3.0
Zeughauskeller,"Wir waren am Nachmittag da und haben gut gegessen. Die Portionen sind ordentlich und das Essen ist lecker, gut bürgerliche Küche würde man in Deutschland sagen. Die Kalbsleber war zart und der Rösti sehr kross. Gutes Preis-Leistungsverhältnis. Netter, flotter Service. Viele schöne Sitzplätze im Freien!",4.0
Zeughauskeller,"Nach einiger Zeit war ich wieder im Zeughauskeller Zürich. Man kann dort gut essen. Das Ambiente ist schön, im Sommer kann man sogar draußen sitzen. Das Züricher Geschnetzelte ist sehr empfehlenswert.",5.0
Zeughauskeller,das Abendessen war sehr gut das Personal sehr freundlich und  flott.Ambiente schön alles bestens kann das Lokal nur empfehlen.,5.0
Zeughauskeller,"Gutes Personal zu finden ist bekanntlich schwierig. So schade dass es in diesem traditionellen Zürcher Restaurant so deutlich erkennbar ist. Wir waren früher Stammgäste in diesem Restaurant, aber in den letzen Jahren kommen wir seltener. Diesmal war das Essen etwas besser, leider hat es aber...Mehr",3.0
Zeughauskeller,"Wir wollten am Nachmittag um 16:30 etwas essen und da ist uns der Zeughauskeller eingefallen. Das Ambiente ist immer noch dasselbe. Die Bedienung war freundlich aber für die wenigen Gäste eher träge. Das Essen, Wienerschnitzel war eher an der unteren Grenze, die Panade hatte eine...Mehr",3.0
Zeughauskeller,"Seit 1974 (war da 16 Jahre alt und in meinem ersten Lehrjahr in der SBG Zürich) komme ich hier hin, hab noch nie schlecht gegessen, werde auch in der Zukunft wieder kommen, as long as I can....",5.0
Zeughauskeller,"Wir sind hier gelandet, weil wir gerne lokal essen wollten. Das Bier war fein, die Kellnerin recht freundlich und das Essen gut.",4.0
Zeughauskeller,"Die Rösti sind nicht mehr durchgebraten und für CHF 36.50 erwartet man etwas mehr, als dass die Sauce vom Zürigschnätzleten konserviert schmeckt und dir Pilze aus der Dose sind. Dafür ist immerhin die Bedienung freundlich und die Kalbs-Leberli frisch.",2.0
Zeughauskeller,"Nur schon beim Betreten des Lokals eröffnet sich eine andere Welt: Ein grosser Raum, umtriebig wie in einem Bienenhaus, einfache Holztische, Artefakte aus kriegerischen Zeiten, viele Touristen, aber noch mehr Einheimische… kaum haben sich die Augen an das schummrige Licht gewöhnt, wird man vom flinken,...Mehr",5.0
Zeughauskeller,"Eines meiner Lieblingsrestaurants in Zürich. Sie können traditionelle Gerichte probieren und bei einer Auswahl an Weinen / Bieren entspannen. Aufmerksames Personal, das immer lächelt. Vielen Dank",5.0
Zeughauskeller,"Der Zeughauskeller ist sehr beliebt, weil das Preis Leistungsverhältnis stimmt. Man wird jeweils freundlich und speditiv bedient und mit den Speisen war ich immer zufrieden. Einzig der Geräuschpegel ist immer sehr hoch, daher eignet es sich meiner Meinung nach weniger für ein romantisches Dinner ;-)...Mehr",4.0
Zeughauskeller,"Das Rehgeschnetzelte war hervorragend, aber die Tische immer noch so eng gestellt, dass sich die Kellner zwischen zwei Tischen richtiggehend durchzwängen müssen. Auch ist der Lärmpegel wie immer sehr hoch und das Servierpersonal bückt sich deshalb unangenehm nah zu den Gästen runter, um diese zu...Mehr",2.0
Zeughauskeller,Mit der Wahl des Zeughauskellers kann man nichts falsch machen. Die schweizerische Küche ist einfach und lecker. Das Preis Leistung Verhältnis an dieser Lage geht nicht besser.,5.0
Zeughauskeller,Super leckere Schweinhachse und Rösti. Sehr schnell Bedienung und guter Preis. Einfach mit der grössen Qualität.,5.0
Zeughauskeller,Leckeres Essen und große Portion. Besonders der Hauswein ist empfehlenswert. Nettes Personal. Aus der großen Halle könnte man optisch noch mehr herausholen und somit für eine gemütlichere Atmosphäre sorgen. Alles in allem hatten wir einen schönen Abend im Zeughauskeller mit gutem Essen zu einem sehr...Mehr,4.0
Zeughauskeller,"Uns fehlte beim Essen ein wenig der Pfiff, insbesondere in Form von Gemüsebeilagen. Schnitzel mit Pommes ist auch nur Schnitzel mit Pommes (und Ketchup und Mayo aus der Tube). Für den Preis kann man mehr erwarten.",3.0
Zeughauskeller,"Essen gute Qualität, Bedienung sehr schlecht. ""Dürfen wir etwas bestellen? Nein, noch nicht!"" Vorspeise serviert, das Brot kam nach 10 Minuten sie mussten es im Nebenrestaurant holen. Zuletzt noch falsch verrechnet!",2.0
Zeughauskeller,"Ich komme seit Jahren regelmässig in den Zeughauskeller. Mit Frau und Kindern, Freunden und Familie sowie Geschäftskollegen. 

Essen immer lecker (Kartoffelsalat ist 'ne Wucht!), Service zu jeder Zeit professionell und zuvorkommend, Terrasse fantastisch, und Preis-Leistung top. Dies direkt am Paradeplatz im Herzen Zürichs. 

Vielen Dank...Mehr",5.0
Zeughauskeller,"Ungefähr zwei Mal pro Monat speise ich in diesem Traditionslokal. Sehr zu empfehlen sind die Wienerschnitzel. 
Das Essen wird relativ schnell zubereitet und unkompliziert serviert.
Die Karte ist urchig und lokal fokussiert und einfach nur lecker",5.0
Zeughauskeller,"Wir waren nun, nach schlechten Erfahrungen, einige Zeit nicht mehr in diesem Restaurant. Nun wagten wir uns wieder und bestellten Nüsslisalat mit Ei, der war ok, dann Wienerschnitzel das keinen guten Geschmack hatte und nur so schnell in der Bratpfanne ohne Butter zubereitet wurde. Dazu...Mehr",3.0
Zeughauskeller,"Es war einmal eine ausgezeichnete Adresse, mit Betonung auf war. Die Qualität der Speisen hat leider stark nachgelassen. Mit der neuen reduzierten Karte ist das Niveau von Fast Food Küche definitiv erreicht. Sehr Schade.",2.0
Zeughauskeller,"Für unser geschäftliches Mittagessen war der Zeughauskeller perfekt gelegen. Darum haben wir es gewagt zum Lunch zu gehen. 

Für die Lage ausserordentlich preiswertes Mittagessen, dass sogar gut zubereitet war. Ein wenig spärlich gewürzt aber eigentlich gut. 

Das Essen ging flott aber wir warteten dann mindestens...Mehr",4.0
Zeughauskeller,"Gutes Essen, nettes Personal

Schade für die schrägen Tische draußen, aber alles war OK 
Ich kann nur das Restaurant empfehlen",4.0
Zeughauskeller,"Das Restaurant Zeughauskeller befindet sich an einer ausgezeichneten Lage direkt beim Paradeplatz. 
In ehrwürdigen Hallen werden traditionell schweizerische Gerichte serviert. 
Eigentlich eine gute Ausgangslage, allerdings ist dieser Ort zu einer Touristenabzocke und Massenabfertigung verkommen. 
Das Personal ist wortkarg, unsympathisch und gehetzt. Die Speisen eher für...Mehr",2.0
Zeughauskeller,"Sehr gute gutbürgerliche Küche. Für Zürich gute Preise. Personal war sehr freundlich und speditiv. Wir waren zu dritt, hatten unterschiedliche Gerichte aber alle waren sehr gut.",5.0
Zeughauskeller,"Gleich zweimal hintereinander waren wir mit einer grösseren Gruppe (15 Personen) über Mittag im Zeughauskeller, um dort unser Mittagessen einzunehmen. Beide Male wurde für uns reserviert, was in Anbetracht des gut besuchten Lokals auch notwendig war.

Bestellt wurde 'à la carte'. Obwohl uns gesagt wurde,...Mehr",5.0
Zeughauskeller,"Immer exzellenter Service, sehr gute Küche, keine XXS Teller, man hat immer mehr als genügend Essen auf dem Teller und auch Preis/ Leistung ist topp..
Kann jederzeit weiterempfehlen",5.0
Zeughauskeller,"Es mag ein sehr touristischer Ort sein, aber wenn sogar Einheimische hier essen, dann machen sie doch etwas richtig. Es ist sinnvoll, einen Tisch zu reservieren. Früher ab 4 Personen, jetzt ist eine Reservation bereits ab 2 Personen (hallo Dinner Date!) möglich. Die Auswahl an...Mehr",4.0
Zeughauskeller,"Sehr gastfreundlich, Ambiance top, David macht es ausgezeichnet, Bravo.
Wir konnten dann auch noch unseren Tisch haben.",5.0
Zeughauskeller,"Dieses Lokal muss man gesehen haben,wenn man in Zürich ist. Rustikal mit schweizerischen Gegenständen aus alten Zeiten verzieren den Raum. Die Speisekarte ist gross und vielseitig, ebenfalls die Getränkekarte. Reservieren lohnt sich damit der Tisch garantiert ist! Wir besuchen den Zeughauskeller mehrmals im Jahr und...Mehr",4.0
Zeughauskeller,"Speisen und Bedienung waren sehr gut.
Restaurant ist sehr "" Schweizerich ""
Ambiance ist gut aber ein bisschen zu laut.",4.0
Zeughauskeller,"Wir waren um 16 Uhr zu Besuch um ein Bier zu trinken. Es gab  noch leere Plätze und wegen der Uhrzeit waren wir noch nicht wirklich hungrig. Als wir aber nur Getränke bestellen wollten, wurden wir mit dem Satz ""das ist eigentlich nicht erlaubt"" missmutig...Mehr",3.0
Zeughauskeller,"Super Service,aufmerksame Kellner,beste Köche, tolles Ambiente
aus vergangenen Zeiten, was will man mehr...
Die Küche mit dem wohriechenden Zürcher Geschnetzeltem mit
Rösti  und ein feiner Wein dazu ist einfach top....",5.0
Zeughauskeller,"Haben sehr gut gegessen und der Service war schnell und freundlich. 
Ist halt ein lebhaftes Lokal aber das weiss man vorher. Uns hat es gefallen.",5.0
Zeughauskeller,"Das Essen ist sehr gut. Eher etwas eine ""Touristenfalle"". Von der Atmosphäre her nicht wirklich ""kuschelig"". Zag-zag Abfertigung.",4.0
Zeughauskeller,"Essen O.K. Für ein gemütliches Weihnachtsessen nicht zu empfehlen, man wird nach knapp 2 Stunden unmissverständlich herauskoplimentiert. Viel Lärm und Hektik. Massenabfertigung. Da ist ein Mc Donald individueller und ruhiger.
Für mich ein NO GO.

Das war mein erster und letzter Besuch im Restaurant Zeughauskeller",1.0
Zeughauskeller,"Gut bürgerlicher kann es schon mal sein .... Wäre jedoch mit seiner Begleitung Konversation betreiben möchte und Gemütlichkeit sucht, ist leider hier fehl am Platze. Es gibt solche und solche Wirtshäuser. Reservierung dringend erforderlich, immer gut besucht von Gruppen, Touristen. Zum Preisleistungsverhältnis bieten andere Restaurants...Mehr",2.0
Zeughauskeller,"Der Zeughauskeller ist immer recht voll, aber man bekommt in der Regel einen Platz. Der Service ist gut und das Essen ist klasse. Wir haben Züricher Geschnetzeltes und 
Rehgeschnetzeltes gegessen. Beides war sehr gut. Die Preisklasse ist gehobene Mittelklasse.",4.0
Zeughauskeller,Wie der Name es ahnen lässt war das Restaurant ursprünglich ein Zeughaus und daher wahrscheinlich auch die Grösse der Lokalität. Für Zürcher sehen und gesehen werden aber auch viele auswärtige und Touristen. Ambiente locker und unkompliziert. Das Essen ist sehr gut. Zürigeschnetzelt mit Rösti sehr...Mehr,4.0
Zeughauskeller,"Immer wieder gehe ich sehr gerne in den Zeughauskeller. Oktober/November ist Wildzeit. Der Rehpfeffer war einfach perfekt. Obwohl das Lokal sehr gross ist , und alt Tische immer besetzt sind, ist der Service sehr schnell und freundlich 
Ambient: hoher Lärmpegel
Preis / Leistung : gut...Mehr",5.0
Zeughauskeller,"Das Essen kam mit blitzartiger Schnelligkeit auf den Tisch. Die Haxen waren trocken, der Fisch ebenfalls. Reinstes Kantinenessen oder noch etwas schlechter. Hoher Lärmpegel, aber wir wurden überaus freundlich und humorvoll bedient.",2.0
Zeughauskeller,"Wir waren am 6.11.2019 zu Zweit zum Nachtessen im Zeughauskeller. 
Wir assen 1 x Aalplermagronen mit 1 Portion Apfelmus (20.50 + 5.-) und einmal Waadtländersaucisson mit Beilagen(Suaerkraut) (28.50)
Dazu tranken wir den offenen Primitivo à 5.60/dl.
Das Essen war gut udn der Wein passte gut...Mehr",3.0
Zeughauskeller,"Habe mich aufgrund der Bewertung hinreissen lassen. Bestellt haben wir das cordon Bleu mit rösti und hirschragout mit Spätzle und blaukraut.
Das cordon Bleu war ok. Nach mir keine Besonderheit (aber ich habe da meine messlatte wahrscheindlich auch etwas höher), wenigstens selbstgemacht, was Pluspunkte gibt....Mehr",3.0
Zeughauskeller,"Super Zürcher Geschnetzeltes mit Rösti. Bedienung nett und aufmerksam. Immer wieder gerne. Das Restaurant war voll, aber es klappte alles tip top",5.0
Zeughauskeller,"Obwohl fast das ganze Lokal ausgebucht, bzw. die Plätze bereits reserviert waren, wurde uns ein Platz mit einer späten Reservation zugeteilt, wo wir in Ruhe essen konnten.",5.0
Zeughauskeller,"Meine Begleitung und ich waren wie bei jedem Zürich Besuch im Zeughauskeller essen. Dieses Mal war es extrem enttäuschend. Die Bedienung unfreundlich und unaufmerksam. Das Essen war dem Ruf unwürdig. 
Es hat nichts mehr mit Tradition zu tun sondern eher mit Massenabfertigung. Schade, ich komme...Mehr",2.0
Zeughauskeller,"Jedes Mal wenn wir nach Zürich kommen wird hier gegessen und wir waren bis jetzt auch jedesmal zufrieden 

Aber dieses Mal war es eine Katastrophe der Service unfreundlich bis geht nicht mehr 

Das Essen Fertigprodukte wir hatten Gulaschsuppe bestellt die schmeckte nach Fertigprodukt  das Wienerschnitzel...Mehr",2.0
Zeughauskeller,"Das Restaurant war am Sonntagabend sehr gut besucht und wir mussten kurz warten. Das machte aber nichts. Unser Kellner, Allessandro war mega freundlich und hatte immer einen lockeren Spruch drauf. Das Essen ist sehr gut. Wir hatten 4 unterschiedliche Gerichte und alle Gerichte waren auf...Mehr",5.0
Zeughauskeller,"Wir haben im Zuge unseres Zürich-Urlaubes dort direkt am ersten Tag gegessen und waren von Qualität und Geschmack der Speisen begeistert. Da aktuell Wild-Gerichte auf der Monats-Speisekarte standen, haben wir uns für ein Rehragout sowie ein Wildschwein-Frischlings-Entrecote entschieden. Als Beilagen wurden jeweils Spätzle sowie glacierte...Mehr",5.0
Zeughauskeller,"Wir, CH Paar sind seit 30 Jahren regelmässig &amp; gerne immer wieder zu Gast im Zeughauskeller! Das Restaurant  bietet seit Jahren eine unverändert hohe Qualität typischer Schweizer Speisen an! Hier gibt es unserer Meinung nach die besten Würste ( Metzgerei Keller, Zürich) das beste Caramelköpfli...Mehr",5.0
Zeughauskeller,"Tolles Essen gute Stimmung es ist laut aber dort soll  es so sein 
Immer sehr voll gutes Personal 
Ein muss in Zürich",5.0
Zeughauskeller,"Wenn man schon im Leben satt von knusprig am Haut gebratenem Zanderfilet ist,
kann man die Spezialität des Hauses, Zander - Schnittchen aus der Friteuse probieren.
Einmal ist genug.",3.0
Zeughauskeller,"Ist ein erstaunlicher Ort! Wird in jedem Reiseführer empfohlen. Ich bin damit einverstanden . Obwohl das Rest. Über Mittag immer bis auf den letzten Platz gefüllt ist, wird man sehr schnell bedient. Hatte nie eine negative Erfahrung mit dem Personal gemacht, Bravo!!!
Nehme immer das...Mehr",4.0
Zeughauskeller,"Wir waren im Februar 2019 an unserem Hochzeitstag im Zeughauskeller und liessen uns verwöhnen. Die Chäsespätzli sind sehr zu empfehlen. Ich esse sie besonders gerne in Bregenz, aber diese hier können es mit Bregenz durchaus aufnehmen. Mein Mann bestellte sich Leberli mit Rösti; auch er...Mehr",5.0
Zeughauskeller,Super feines Essen zu günstigen Preisen für Zürich. In einem alten Gebäude. Ganzer Tag warme Küche. Am Abend unbedingt Plätze reservieren.,5.0
Zeughauskeller,"gutes speiselokal in der nähe des paradeplatzes. das essen ist gut, der service lässt wünschen übrig.",4.0
Zeughauskeller,"Wenn wir in Zürich sind, dann essen wir immer im Zeughauskeller. Wir lieben das Tatar, sowie auch die Kalbsbratwurst mit dem besten Kartoffelsalat. Der Service ist sehr aufmerksam und freundlich.",5.0
Zeughauskeller,"Der Zeughauskeller überzeugt jedes Mal mit einem sehr guten Preis-Leistungs-Verhältnis. Die einfache aber sehr leckere Hausmannskost wird in einem altertümlichen urigen Ambiente von stets aufmerksamen freundlichem Personal serviert. 
kurze Wartezeit einberechnen oder reservieren.",4.0
Zeughauskeller,"Wer wie ich ab und zu rustikale Küche mag, ist im Zeugshauskeller absolut richtig. Das Essen ist steht‘s deftig und lecker, der Service effizient und freundlich und hilft auch mal, zwei Plätze an einem Tisch zu finden, wenn alles voll ist und die Preise sind...Mehr",5.0
Zeughauskeller,"... und gute regionale Küche. Sehr internationales, touristisches Publikum. Großer Saal mit Tischnachbarn, das und die Lautstärke hat etwas gestört.",4.0
Zeughauskeller,"Immer viele Touristen in diesem Lokal. Freundliche Bedienung, gute Würste und guter Kartoffelsalat. Die restlichen Gerichte kann man vergessen. Vernünftige Preise für den Ort.",3.0
Zeughauskeller,"Bereits als Kind war ich oft im Zeughauskeller mit meinem Vater zum essen. Das Essen ist seit Jahren echt lecker und typisch schweizerisch :)
Es ist ein wenig Laut und hektisch , jedoch gleicht sich das durch die leckeren menüs wieder aus.
Der Service lässt...Mehr",3.0
Zeughauskeller,Was ist bloss mit dem guten alten Zeughauskeller passiert. Die Schnitzel werden immer kleiner! Was früher imposant über den Tellerrand ragte ist heute auf die Grösse eines Kindertellers geschrumpt - bei gleichem Preis! So vertreibt man nicht nur Stammgäste sondern gibt auch seine Highligts auf....Mehr,1.0
Zeughauskeller,"Wir waren regelmässige Gäste im Zeughauskeller - auch wenn man dann und wann etwas Anstehen musste.
Bei unserem letzten Besuch habe ich festgestellt, dass mein Wienerschnitzel kleiner und leichter war, der Preis ist immer noch der selbe.

Nicht mit uns, wieder kommen nicht wieder und...Mehr",2.0
Zeughauskeller,"Meine Frau und ich gehen seit 15 Jahren ins Zeughauskeller. Leider werden die Portionen jedes Jahr kleiner. Man merkt, dass dieses Restaurant beim Kunden spart. Dies ist eigentlich ein Betrug an Kunden. Da wir beide Bänker sind gehen wir oft über Mittag ins Zeughaus essen....Mehr",1.0
Zeughauskeller,"Wir waren mit Freunden aus Deutschland zum Essen hier. Sehr gutes Essen und perfekte Bedienung durch EWA, selbst in der grossen Hektik war sie die perfekte Gastgeberin. Wir haben uns sehr wohl gefühlt und das Zürcher Geschnetzelte ist wirklich zu empfehlen und die Preise voll...Mehr",5.0
Zeughauskeller,Fantastisches Essen und top Service und das immer und immer wieder. Wir kommen gerne und häufig hierhin.,5.0
Zeughauskeller,"Mit meiner Familie war ich einen Tag in Zürich und wir suchten ein authentisches Restaurant.
Durch die optimale Lage und die Empfehlung von TripAdvisor sind wir eingekehrt und haben es nicht bereut.
Der Empfang und die Platzierung war ausgesucht höflich, die Preise entsprechen dem Zürcher...Mehr",4.0
Zeughauskeller,"Meine Frau hatte das Geschnetzelte, das war sensationell, auch meine Kalbsbratwurst war sehr lecker.",5.0
Zeughauskeller,Die Speisekarte bietet die lokalen Spezialitäten in sehenswerter Umgebung. Die Preise sind für Züricher Verhältnisse sehr gut und das deftige Essen sehr lecker.,5.0
Zeughauskeller,"Ich war vor zig Jahren einmal dort, der Besuch des Zeughauskellers gehört zu Zürich, daher waren wir als Familie auch im Januar dort. Aber wirklich empfehlen kann man das Zürcher Geschnetzelte nicht mehr. Sorry.",3.0
Zeughauskeller,"Einen Platz bitte unbedingt reservieren, große Tische mit i.d.R. 10 Plätzen, Leute werden ungefragt dazugesetzt, internationales Publikum - hohe Frequenz - und Durchgangsverkehr, Essen ist qualitativ absolut ok, Preise im Schweizer Verhältnis ebenfalls",4.0
Zeughauskeller,Wenns perfekt gekocht sein soll gehen wir i s Zeughauskeller. Immer gleichbleibend Qualität unser der Salatteler ist super.,5.0
Zeughauskeller,"Laut eigenen Aussagen auf der Homepage setzt man sich hier Tag für Tag mit viel Leidenschaft und Begeisterung für das Wohl der Gäste ein. 
Ein gutklingendes Motto, mehr nicht, wie ich heute erfahren musste. Ich frage mich, wie dieser Betrieb Gastfreundschaft definiert. Mit einer Kollegin...Mehr",1.0
Zeughauskeller,Nettes bodenständiges Lokal mit bodenständigem Essen. Sehr nette Bedienung. Trotz der Bekanntheit hatte man nicht den Eindruck eines Massenbetriebes. Die Dekoration mit den Waffen war sehr interessant.,4.0
Zeughauskeller,"Alles zum Thema Wurst 
Herz was willst du mehr 
Thanks 🙏🏽 
Schweizer Küche 
Schweizer Rösti 
Schweizer 🍻 Bier",4.0
